,Aspect,BulkDensity,ClayPercentage,annualPET,aridityIndexThornthwaite,climaticMoistureIndex,continentality,embergerQ,growingDegDays0,growingDegDays5,maxTempColdest,minTempWarmest,monthCountByTemp10,PETColdestQuarter,PETDriestQuarter,PETseasonality,PETWarmestQuarter,PETWettestQuarter,thermicityIndex,OrganicCarbon,PhCaCL,Slope,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19
SCCS17,0.062931835,0.228380663,0.664223244,0.853790582,-0.075642114,0.319425713,-1.107808262,1.040477129,1.001450246,1.005170552,1.004839226,0.688694446,0.979509039,1.142934866,0.831244273,-1.054526658,0.359484312,0.332964181,1.013675679,-0.214333062,-0.340461023,0.166157199,0.935554291,-0.038174384,1.199607012,-1.105754294,0.566499643,1.064032178,-1.13167207,0.673350376,0.922574511,0.671077246,1.034539316,1.125442701,1.186085306,0.33622864,0.193795274,1.1919109,0.414278328,0.596629153,1.034947279
SCCS171,0.335951851,0.268945373,0.670229071,0.613175286,0.0063669,-0.280694533,-1.176679933,0.300010625,0.640476474,0.62361693,0.856202475,0.126276446,0.707079547,0.883811736,0.548721658,-1.052431484,0.094360527,0.136933797,0.734299432,-0.273264511,0.01149346,0.478838842,0.674098191,-0.015197061,1.271049455,-1.16641053,0.06837819,0.907729435,-1.233304549,0.315499939,0.708671744,0.180396144,0.863868844,0.17486823,0.266901813,0.115815921,0.036715578,0.202547935,0.171292505,0.164566918,-0.117098151
SCCS172,0.200850789,0.224701922,0.579993762,0.17178428,0.522738801,-0.434918674,-0.710569017,-0.093438331,0.128489596,0.102174032,0.437479808,-0.164055342,0.149552605,0.194334535,0.473436247,-0.343471159,-0.124331189,-0.517863173,0.204572212,-0.220316978,0.329516038,1.162507574,0.285358783,0.133264326,0.607958474,-0.696377425,-0.155661655,0.451102202,-0.735336297,-0.400472849,0.506851486,-0.091626998,0.432083267,-0.150778544,0.024660726,-0.323757238,0.550275635,0.021119664,-0.332655329,-0.25451715,0.121080737
SCCS18,-0.060033829,0.41734301,0.255487338,0.81686343,0.586080171,-0.325048653,-0.88104364,0.17838551,0.809837181,0.786686408,0.86436768,0.576846567,0.787181937,0.960338544,0.912529887,-0.60087883,0.554125331,0.227443502,0.828449716,-0.252849078,0.106220745,0.478272608,0.798021727,0.353529378,0.827402125,-0.893258404,0.635275372,0.860294366,-0.80054801,0.430926709,0.842649868,0.626718311,0.869207191,0.272994876,0.590202656,-0.316004939,0.63391379,0.576323919,-0.296865523,-0.122262657,0.359065831
SCCS184,0.184775198,0.238871784,0.685421195,0.081322653,0.459634246,-0.426615998,-0.443143612,-0.155418693,0.001217376,-0.062926096,0.269564301,-0.113254961,0.039792895,-0.053711619,0.497605169,0.131643431,0.051529452,-0.633400593,0.05579776,-0.221958289,0.392664526,1.084459139,0.199563845,0.147174874,0.287057999,-0.440202454,-0.033767292,0.311492366,-0.460165242,-0.58591476,0.484594727,-0.028054938,0.283966076,-0.170331194,-0.030094164,-0.299638506,0.412234871,-0.031440473,-0.309347353,-0.355716531,0.157151821
SCCS19,-0.001097109,0.289884371,0.753502068,0.901458319,0.090878085,0.244143837,-1.137143002,0.797402698,1.067360752,1.079121379,1.057410817,0.749799522,1.037703202,1.278334505,0.805997427,-1.222499474,0.344268208,0.335584068,1.07542284,-0.27643133,-0.289441512,0.370981457,0.983133895,-0.035356662,1.129776939,-1.13844388,0.615388511,1.090854318,-1.137855263,0.77140016,0.909987867,0.721680606,1.078913972,0.962683082,1.206573647,0.000812095,0.422993009,1.174914523,0.074543396,0.615302954,0.813759422
SCCS20,0.024785043,0.05823865,0.785467558,0.925505348,0.355525245,0.222039314,-1.036702561,0.984363573,1.207044479,1.203624755,1.07298939,1.050185724,0.97595456,1.14789466,0.816305256,-0.883579628,0.516708508,0.448227112,1.174663175,-0.204220424,-0.095189853,-0.199490444,1.082519002,-0.213410748,0.986402978,-1.036539999,0.777091744,1.132295109,-1.091775961,0.946611676,0.997888271,0.940660262,1.101529212,1.048830997,1.486873647,-0.085064743,0.719744187,1.539860318,-0.046800996,0.902033172,0.362378663
SCCS21,0.049302099,0.35771275,0.299764655,0.724110512,0.524999452,-0.330797612,-0.798157425,0.176180911,0.725973188,0.702139307,0.782979545,0.551948297,0.704868264,0.81933073,0.829070623,-0.480379732,0.508943887,0.212174054,0.743337343,-0.251908931,0.118180983,0.433404875,0.73981626,0.251216829,0.727210454,-0.810597823,0.573630912,0.796544051,-0.750630943,0.38937118,0.805478868,0.584617283,0.794281577,0.230278985,0.529457693,-0.285584071,0.599919852,0.521936546,-0.27360884,-0.031266795,0.187325598
SCCS22,0.025863159,0.371113203,0.111252997,0.860968726,0.671471532,-0.288936037,-0.894596016,0.249962857,0.89514727,0.883194145,0.899493585,0.685340647,0.785487246,1.058511959,0.908478286,-0.719538204,0.540387827,0.322003801,0.911799927,-0.2489315,0.048209839,0.320154505,0.849115211,0.321239674,0.853345922,-0.904435979,0.696406362,0.900347308,-0.817447182,0.604566424,0.831657131,0.704286444,0.909575184,0.339779578,0.741108933,-0.43349337,0.845968903,0.71885093,-0.414384294,-0.094139263,0.621338396
SCCS23,0.039791942,0.384658024,0.402345281,0.912805619,0.491531986,-0.440120948,-0.949417445,0.132701428,0.914575076,0.911652417,0.938649016,0.661092245,0.908517314,1.070396091,0.825926945,-0.701507712,0.578022963,0.483216661,0.926616965,-0.287583831,0.109558676,0.258469422,0.875243224,0.34681822,0.92098945,-0.955645066,0.654351671,0.926022729,-0.880731708,0.654351757,0.846308877,0.690840118,0.940066054,0.178258976,0.485982706,-0.342443393,0.695398244,0.45421956,-0.327609473,0.054319784,0.167830611
